Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Belén;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;19.0;19.0;513.0;27.0;Daucus carota;En fresco
Boyacá;Belén;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;B;4.0;3.0;33.0;11.0;No aplica;En fresco
Boyacá;Belén;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;320.0;320.0;4160.0;13.0;Solanum tuberosum;En fresco
Boyacá;Belén;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;35.0;35.0;287.0;8.2;Solanum tuberosum;En fresco
Boyacá;Berbeo;Chamba;Chamba;Permanente;Frutales;Mirtáceas;2019;C;4.0;4.0;20.0;5.0;Campomanesia lineatifolia;En fresco
Boyacá;Berbeo;Maracuyá;Maracuyá;Permanente;Frutales;Pasifloráceas;2019;C;4.0;4.0;120.0;30.0;Passiflora edulis;En fresco
Boyacá;Berbeo;Pitahaya;Pitahaya;Permanente;Frutales;Demas frutales;2019;C;17.0;17.0;80.0;4.71;Hylocereus triangularis;En fresco
Boyacá;Berbeo;Plátano consumo interno;Plátano;Permanente;Frutales;Demas frutales;2019;C;7.0;5.0;11.5;2.3;Musa paradisiaca L.;En fresco
Boyacá;Berbeo;Sacha inchi;Sacha inchi;Permanente;Oleaginosas;Oleaginosas;2019;C;2.0;1.0;2.0;2.0;Plukenetia volubilis;En fresco
Boyacá;Berbeo;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;15.0;15.0;15.0;1.0;Zea mays;En fresco
Boyacá;Berbeo;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;4.0;4.0;320.0;80.0;Lycopersicon esculentum;En fresco
Boyacá;Berbeo;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;8.0;8.0;72.0;9.0;Manihot esculenta;En fresco
Boyacá;Berbeo;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;12.0;12.0;12.0;1.0;Zea mays;En fresco
Boyacá;Berbeo;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;5.0;5.0;400.0;80.0;Lycopersicon esculentum;En fresco
Boyacá;Betéitiva;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;4.0;2.0;8.0;4.0;Prunus persica L.;En fresco
Boyacá;Betéitiva;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;4.0;2.0;30.0;15.0;Physalis peruviana L.;En fresco
Boyacá;Betéitiva;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;2.0;2.0;2.0;1.0;Hordeum vulgare;En fresco
Boyacá;Betéitiva;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;14.0;14.0;16.8;1.2;Zea mays;En fresco
Boyacá;Betéitiva;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;A;10.0;10.0;9.0;0.9;Triticum aestivum;En fresco
Boyacá;Betéitiva;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;5.0;5.0;75.0;15.0;Allium cepa;En fresco
Boyacá;Betéitiva;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;36.0;36.0;720.0;20.0;Solanum tuberosum;En fresco
Boyacá;Betéitiva;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;7.0;7.0;105.0;15.0;Solanum tuberosum;En fresco
Boyacá;Betéitiva;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;5.0;5.0;65.0;13.0;Allium cepa;En fresco
Boyacá;Betéitiva;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;4.0;4.0;200.0;50.0;Lycopersicon esculentum;En fresco
Boyacá;Betéitiva;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;22.0;22.0;440.0;20.0;Solanum tuberosum;En fresco
Boyacá;Betéitiva;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;5.0;5.0;75.0;15.0;Solanum tuberosum;En fresco
Boyacá;Boavita;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;9.0;8.0;160.0;20.0;Prunus persica L.;En fresco
Boyacá;Boavita;Mango demás variedades;Mango;Permanente;Frutales;Demas frutales;2019;C;15.0;13.0;39.0;3.0;Mangifera indica L;En fresco
Boyacá;Boavita;Plátano consumo interno;Plátano;Permanente;Frutales;Demas frutales;2019;C;30.0;30.0;90.0;3.0;Musa paradisiaca L.;En fresco
Boyacá;Boavita;Otros cítricos;Otros cítricos;Permanente;Frutales;Cítricos;2019;C;91.0;85.0;680.0;8.0;No aplica;En fresco
Boyacá;Boavita;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;300.0;280.0;280.0;1.0;Zea mays;En fresco
Boyacá;Boavita;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;A;10.0;10.0;10.0;1.0;Triticum aestivum;En fresco
Boyacá;Boavita;Tabaco;Tabaco;Transitorio;Cultivos Tropicales Tradicionales;Cultivos Tropicales Tradicionales;2019;A;0.0;0.0;0.0;0.0;Nicotiana tabacum;En fresco
Boyacá;Boavita;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;15.0;14.0;420.0;30.0;Lycopersicon esculentum;En fresco
Boyacá;Boavita;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;3.0;3.0;180.0;60.0;Lycopersicon esculentum;En fresco
Boyacá;Boavita;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;150.0;140.0;140.0;1.0;Zea mays;En fresco
Boyacá;Boavita;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;B;20.0;20.0;20.0;1.0;Triticum aestivum;En fresco
Boyacá;Boavita;Tabaco;Tabaco;Transitorio;Cultivos Tropicales Tradicionales;Cultivos Tropicales Tradicionales;2019;B;0.0;0.0;0.0;0.0;Nicotiana tabacum;En fresco
Boyacá;Boavita;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;15.0;14.0;420.0;30.0;Lycopersicon esculentum;En fresco
Boyacá;Boavita;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;33.0;3.0;180.0;60.0;Lycopersicon esculentum;En fresco
Boyacá;Boavita;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;50.0;50.0;250.0;5.0;Manihot esculenta;En fresco
Boyacá;Boyacá;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;15.0;15.0;120.0;8.0;Morus ssp;En fresco
Boyacá;Boyacá;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;15.0;15.0;481.0;32.07;Solanum betaceum;En fresco
Boyacá;Boyacá;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;11.0;11.0;13.2;1.2;Zea mays;En fresco
Boyacá;Boyacá;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;3.0;3.0;9.0;3.0;Allium cepa;En fresco
Boyacá;Boyacá;Pepino Guiso;Pepino Guiso;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;3.0;3.0;15.0;5.0;Cyclanthera pedata;En fresco
Boyacá;Boyacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;76.0;76.0;2128.0;28.0;Daucus carota;En fresco
Boyacá;Boyacá;Arracacha;Arracacha;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;124.0;124.0;992.0;8.0;Arracacia xanthorrhiza;En fresco
Boyacá;Boyacá;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;240.0;240.0;4800.0;20.0;Solanum tuberosum;En fresco
Boyacá;Boyacá;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;11.0;11.0;12.87;1.17;Zea mays;En fresco
Boyacá;Boyacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;180.0;180.0;5400.0;30.0;Daucus carota;En fresco
Boyacá;Boyacá;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;140.0;140.0;3640.0;26.0;Solanum tuberosum;En fresco
Boyacá;Briceño;Aguacate demás variedades;Aguacate;Permanente;Frutales;Demas frutales;2019;C;25.0;17.0;165.0;9.71;Persea americana;En fresco
Boyacá;Briceño;Banano consumo interno;Banano;Permanente;Frutales;Demas frutales;2019;C;0.0;0.0;0.0;0.0;Musa cavendishii;En fresco
