Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Café;Cultivos Tropicales Tradicionales;224.51;199.2;1.01;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;42.0;1480.0;40.0;6;4;2;1;463
Maíz;Cereales;3.0;3.36;1.12;5;1;0;0;1624
Arveja;Leguminosas;15.0;24.53;1.64;3;2;0;0;1173
Frijol;Leguminosas;2.0;4.9;2.45;3;1;0;0;1090
Maíz;Cereales;2.0;2.24;1.12;5;1;1;0;1624
Arveja;Leguminosas;15.0;24.53;1.64;3;2;1;0;1173
Frijol;Leguminosas;2.0;4.9;2.45;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;486.74;517.97;1.36;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;563.0;32520.0;60.0;6;4;2;1;463
Maíz;Cereales;19.0;54.0;3.0;5;1;0;0;1624
Arveja;Leguminosas;20.0;31.78;1.87;3;2;0;0;1173
Frijol;Leguminosas;40.0;64.6;1.7;3;1;0;0;1090
Maíz;Cereales;10.0;30.0;3.0;5;1;1;0;1624
Maíz;Cereales;10.0;30.0;3.0;5;1;1;0;1624
Frijol;Leguminosas;8.0;16.0;2.0;3;1;1;0;1090
Café;Cultivos Tropicales Tradicionales;526.56;466.91;1.0;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;5.0;200.0;40.0;6;4;2;1;463
Maíz;Cereales;4.0;6.0;1.5;5;1;0;0;1624
Frijol;Leguminosas;1.9;1.9;1.0;3;1;0;0;1090
Maíz;Cereales;2.3;3.45;1.5;5;1;1;0;1624
Frijol;Leguminosas;2.1;2.1;1.0;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;48.0;48.0;1.0;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;1645.61;1344.38;0.91;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;231.0;4620.0;20.0;6;4;2;1;463
Arroz;Cereales;60.0;428.4;7.14;5;5;0;0;28
Maíz;Cereales;15.0;16.78;1.12;5;1;0;0;1624
Maíz;Cereales;4.0;4.47;1.12;5;1;0;0;1624
Frijol;Leguminosas;13.0;43.64;3.36;3;1;0;0;1090
Arroz;Cereales;80.0;571.2;7.14;5;5;1;0;28
Maíz;Cereales;30.0;67.12;2.24;5;1;1;0;1624
Maíz;Cereales;29.0;48.66;1.68;5;1;1;0;1624
Frijol;Leguminosas;15.0;50.35;3.36;3;1;1;0;1090
Cacao;Cultivos Tropicales Tradicionales;83.0;62.4;0.8;6;1;2;1;217
Café;Cultivos Tropicales Tradicionales;814.49;657.73;0.98;6;3;2;1;474
Caña;Cultivos Tropicales Tradicionales;449.0;16120.0;40.0;6;4;2;1;463
Maíz;Cereales;6.0;10.0;1.67;5;1;0;0;1624
Maíz;Cereales;2.0;1.68;0.84;5;1;0;0;1624
Frijol;Leguminosas;6.0;5.0;1.0;3;1;0;0;1090
Maíz;Cereales;3.0;5.4;1.8;5;1;1;0;1624
Maíz;Cereales;3.0;2.52;0.84;5;1;1;0;1624
Frijol;Leguminosas;6.0;5.0;1.0;3;1;1;0;1090
Maíz;Cereales;22.0;24.61;1.12;5;1;0;0;1624
Arveja;Leguminosas;15.0;28.04;1.87;3;2;0;0;1173
Frijol;Leguminosas;5.0;10.0;2.0;3;1;0;0;1090
Haba;Leguminosas;3.0;5.31;1.77;3;1;0;0;215
Maíz;Cereales;20.0;20.14;1.12;5;1;1;0;1624
Arveja;Leguminosas;20.0;33.64;1.87;3;2;1;0;1173
